fecha;pais;ingresos;costos;procentaje_mujeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-05-2012;peru;14,0194;3,304;0,5554;1,9725;1,964;0,7193;0,0536;1,351;0,1354;0,1551
01-06-2012;peru;14,2526;3,323;0,5562;1,9722;1,968;0,7209;0,0529;0,88;0,1349;0,1556
01-07-2012;peru;13,5501;3,297;0,553;1,9739;1,958;0,7213;0,0545;0,897;0,1322;0,1544
01-08-2012;peru;13,4189;3,296;0,5535;1,973;1,959;0,7217;0,0546;7,7;0,1318;0,1554
01-09-2012;peru;13,2457;3,332;0,5579;1,9693;1,976;0,7213;0,0524;2,919;0,1294;0,1533
01-10-2012;peru;13,0283;3,307;0,5559;1,9733;1,964;0,7225;0,0542;1,578;0,1287;0,1531
01-11-2012;peru;13,1874;3,333;0,5576;1,9726;1,972;0,7207;0,0535;2,116;0,133;0,1541
01-12-2012;peru;13,7068;3,338;0,5561;1,9769;1,967;0,7225;0,0534;1,461;0,1337;0,1515
01-01-2013;peru;13,7429;3,346;0,5549;1,9822;1,965;0,8554;0,0555;1,531;0,1337;0,149
01-02-2013;peru;13,6399;3,352;0,5536;1,9792;1,968;0,8526;0,0577;1,618;0,1349;0,1479
01-03-2013;peru;14,1216;3,315;0,5525;1,9832;1,955;0,8511;0,0621;1,276;0,1379;0,1471
01-04-2013;peru;14,2172;3,288;0,5522;1,9812;1,953;0,8544;0,0639;1,351;0,1381;0,1486
01-05-2013;peru;14,0808;3,296;0,5525;1,9815;1,954;0,8577;0,0659;1,61;0,1385;0,1498
01-06-2013;peru;14,1776;3,305;0,5535;1,9764;1,962;0,8594;0,0671;1,743;0,1405;0,1514
01-07-2013;peru;13,8412;3,334;0,5537;1,9729;1,971;0,8615;0,0693;1,698;0,1404;0,1513
01-08-2013;peru;13,6486;3,322;0,5531;1,9697;1,972;0,863;0,071;1,304;0,1403;0,1516
01-09-2013;peru;13,4438;3,319;0,5522;1,9707;1,969;0,8646;0,0716;1,292;0,1406;0,1515
01-10-2013;peru;13,1822;3,349;0,5547;1,9649;1,984;0,8524;0,0739;1,189;0,1411;0,1519
01-11-2013;peru;13,1612;3,297;0,5543;1,9636;1,977;0,8536;0,075;1,551;0,1413;0,1524
01-12-2013;peru;13,1688;3,255;0,5513;1,969;1,961;0,8548;0,0734;1,298;0,1413;0,1525
01-01-2014;peru;13,3664;3,286;0,5526;1,9629;1,975;0,8733;0,0806;1,463;0,1441;0,1552
01-02-2014;peru;13,3011;3,3;0,5544;1,9619;1,98;0,8725;0,0821;1,339;0,1422;0,1548
01-03-2014;peru;13,8427;3,241;0,5499;1,9651;1,962;0,8726;0,0832;2,33;0,1404;0,1549
01-04-2014;peru;13,9283;3,266;0,5502;1,9629;1,97;0,8729;0,0848;1,295;0,1388;0,1542
01-05-2014;peru;13,863;3,254;0,5497;1,9662;1,964;0,8726;0,0869;1,539;0,1355;0,1528
01-06-2014;peru;13,7205;3,279;0,5522;1,9615;1,975;0,872;0,0868;1,361;0,1319;0,1507
01-07-2014;peru;13,4352;3,28;0,5515;1,9611;1,976;0,8715;0,0889;1,295;0,1278;0,1497
01-08-2014;peru;13,4079;3,292;0,5512;1,9583;1,981;0,8715;0,0894;1,432;0,126;0,1491
01-09-2014;peru;14,0737;3,284;0,5491;1,9627;1,972;0,8718;0,0864;1,448;0,1229;0,1483
01-10-2014;peru;14,0636;3,322;0,5523;1,9623;1,982;0,8726;0,0875;1,329;0,1212;0,1472
01-11-2014;peru;13,9195;3,312;0,5515;1,9653;1,977;0,8725;0,0885;1,399;0,1186;0,1466
01-12-2014;peru;13,6471;3,34;0,552;1,963;1,986;0,8736;0,0884;1,282;0,117;0,1474
01-01-2015;peru;13,5036;3,355;0,5496;1,9585;1,991;0,8918;0,0954;1,604;0,1152;0,1477
01-02-2015;peru;13,5502;3,344;0,5513;1,9593;1,989;0,888;0,0957;1,522;0,1154;0,1464
01-03-2015;peru;13,9822;3,301;0,5428;1,9862;1,936;0,8889;0,0928;1,259;0,113;0,1459
01-04-2015;peru;13,9286;3,31;0,5426;1,982;1,943;0,8891;0,0966;1,369;0,1112;0,1464
01-05-2015;peru;13,873;3,299;0,5426;1,9662;1,959;0,8878;0,0991;1,571;0,1122;0,1481
01-06-2015;peru;13,7778;3,252;0,5402;1,9712;1,942;0,8875;0,0986;1,394;0,1055;0,1459
01-07-2015;peru;14,0092;3,248;0,5387;1,9743;1,937;0,8873;0,1007;1,435;0,1041;0,146
01-08-2015;peru;13,7981;3,324;0,542;1,967;1,962;0,8883;0,1001;1,502;0,1057;0,1471
01-09-2015;peru;13,7091;3,311;0,5399;1,966;1,959;0,8886;0,0941;1,467;0,1048;0,146
01-10-2015;peru;13,7973;3,29;0,5379;1,9698;1,948;0,8878;0,0943;1,439;0,1013;0,1438
01-11-2015;peru;13,6061;3,288;0,5378;1,9704;1,947;0,7107;0,0885;1,554;0,0999;0,1445
01-12-2015;peru;13,6962;3,272;0,5386;1,9735;1,941;0,7045;0,0858;1,234;0,093;0,1414
01-01-2016;peru;13,5753;3,305;0,5376;1,9703;1,951;0,6579;0,0903;1,479;0,0916;0,1396
01-02-2016;peru;13,5396;3,292;0,5401;1,9657;1,955;0,6896;0,0894;1,667;0,0849;0,1371
01-03-2016;peru;14,2483;3,325;0,5428;1,9677;1,961;0,6891;0,0923;1,498;0,0865;0,1388
01-04-2016;peru;14,2621;3,306;0,5402;1,9715;1,951;0,6987;0,0931;1,886;0,0807;0,1331
01-05-2016;peru;14,4629;3,292;0,5388;1,9773;1,941;0,7288;0,0944;1,231;0,0764;0,1292
01-06-2016;peru;14,4987;3,274;0,5362;1,9812;1,93;0,7166;0,0949;1,262;0,0751;0,1285
01-07-2016;peru;14,8463;3,246;0,5344;1,9819;1,924;0,7241;0,0982;1,237;0,0686;0,1223
01-08-2016;peru;14,9946;3,239;0,5326;1,981;1,921;0,7327;0,0966;1,124;0,0644;0,1192
01-09-2016;peru;14,9286;3,263;0,5335;1,9764;1,932;0,7352;0,0947;1,345;0,0593;0,1146
01-10-2016;peru;14,9322;3,24;0,5326;1,9785;1,924;0,738;0,0939;1,224;0,0584;0,1135
01-11-2016;peru;14,8967;3,263;0,5337;1,9765;1,932;0,7396;0,093;0,999;0,0577;0,1132
01-12-2016;peru;14,7595;3,251;0,5375;1,9722;1,938;0,7388;0,0896;1,074;0,0501;0,1117
01-01-2017;peru;14,8923;3,258;0,5345;1,9745;1,933;0,7186;0,0904;1,085;0,0544;0,1111
01-02-2017;peru;14,9045;3,277;0,5323;1,9746;1,935;0,7231;0,0923;1,024;0,0497;0,1102
01-03-2017;peru;15,5129;3,202;0,5234;1,9832;1,906;0,7272;0,0941;1,061;0,0552;0,1122
01-04-2017;peru;15,5842;3,234;0,5214;1,985;1,909;0,7327;0,0945;1,221;0,062;0,116
01-05-2017;peru;15,5477;3,221;0,5212;1,9866;1,904;0,7373;0,0931;1,051;0,0569;0,1175
01-06-2017;peru;15,4292;3,188;0,5207;1,9895;1,893;0,7348;0,0917;1,108;0,0619;0,1148
01-07-2017;peru;15,6175;3,223;0,519;1,9841;1,907;0,7374;0,0932;1,147;0,0516;0,1108
01-08-2017;peru;15,6363;3,187;0,5178;1,9883;1,895;0,7387;0,0928;0,985;0,055;0,1119
01-09-2017;peru;15,4747;3,165;0,5244;1,9838;1,899;0,736;0,0917;7,36;0,0411;0,1067
